id,type,name,description,status,startTime,endTime,duration,epic
51ea0740-e62e-4126-83ee-9f80b0897820,TASK,Переезд,NEW,Собрать коробки,2023-04-01T20:02:07.546980600,2023-04-01T20:52:07.546980600,50,
e99b760b-8ffe-4be1-95c0-b71b78131381,SUBTASK,тест2,Упаковать кошку,NEW,2023-04-01T20:02:04.773059600,2023-04-01T20:07:04.773059600,5,319ffc6d-e489-4ee2-b9ce-d7c6d25bfc53
3621df2e-83fb-4004-b305-35ac45f6dfd8,TASK,Переезд,NEW,Собрать коробки,2023-04-01T20:02:07.516625300,2023-04-01T20:52:07.516625300,50,
e3dc780f-ecca-45ed-b44d-41cfdb0cf0a3,TASK,Переезд,NEW,Упаковать кошку,2023-04-01T20:02:07.543979800,2023-04-01T20:07:07.543979800,5,
319ffc6d-e489-4ee2-b9ce-d7c6d25bfc53,EPIC,Переезд1,Переезд1,NEW,2023-04-01T20:02:04.773059600,2023-04-01T20:07:04.773059600,55
1f2e4f23-1cf8-4718-ae8b-ff84e983340b,TASK,Переезд,NEW,Сказать слова прощания,2023-04-01T20:02:07.545981400,2023-04-01T20:04:07.545981400,2,
1694787e-5731-42c7-99e3-98368d928bb7,TASK,Переезд,NEW,Упаковать кошку,2023-04-01T20:02:07.548979700,2023-04-01T20:07:07.548979700,5,
c812224e-6900-4f8b-9f06-2f695f8c2e2b,SUBTASK,тест1,Собрать коробки,NEW,2023-04-01T20:02:04.773059600,2023-04-01T20:52:04.773059600,50,319ffc6d-e489-4ee2-b9ce-d7c6d25bfc53

319ffc6d-e489-4ee2-b9ce-d7c6d25bfc53
